Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags,Price_EUR,Tag_Region,Rating,Unit,Section,ComplexList
Hideaway Camping and Caravan Park,,+353(0)2822254,-9.260331,51.541699,Cork,Skibbereen,Republic of Ireland,Camping,653,Camping_Cork,3,Blk,37,"[7, 1, 6]"
Clonvilla,,+353(0)2498288,-7.924324,51.91066,Cork,Youghal,Republic of Ireland,Camping,1065,Camping_Cork,1,Lot,95,"[9, 1, 4, 9]"
Rosses Point Caravan Park (Greenlands),http://www.sligocaravanandcamping.ie,+353(0)719177113,-8.569483,54.306976,Sligo,Rosses Point,Republic of Ireland,Camping,993,Camping_Sligo,2,Zone,60,"[6, 1, 7]"
Strandhill Caravan and Camping Park,http://www.sligocaravanandcamping.ie,+353(0)719168111,-8.605472,54.271988,Sligo,Airport Road,Republic of Ireland,Camping,863,Camping_Sligo,2,Sect,61,"[5, 8, 6]"
Caseys Caravan Park,http://www.caseyscaravanpark.com,+353(0)749155376,-7.837826,55.195124,Donegal,Downings,Republic of Ireland,Camping,860,Camping_Donegal,3,Zone,35,"[1, 3, 8]"
Flemings White Bridge Caravan and Camping,http://www.killarneycamping.com,+353(0)646631590,-9.475904065,52.05711322,Kerry,Killarney,Republic of Ireland,Camping,1116,Camping_Kerry,3,Zone,38,"[6, 4]"
Fossa Caravan and Camping Park,http://www.fossacampingkillarney.com,+353(0)646631497,-9.585609,52.070824,Kerry,Fossa,Republic of Ireland,Camping,651,Camping_Kerry,3,Sect,68,"[7, 3, 2]"
Streamstown Caravan & Camping Park,http://www.tipperarycaravanpark.com,35350521519,-7.8393265,52.957265,Tipperary,Roscrea,Ireland,Camping,1019,Camping_Tipperary,1,Div,4,"[7, 8, 6, 6]"
Roundwood Caravan and Camping Park,http://www.dublinwicklowcamping.com,35312818163,-6.222318767,53.06909915,Wicklow,Roundwood,Republic of Ireland,Camping,721,Camping_Wicklow,2,Lot,24,"[2, 2, 4, 6, 6]"
Eagle Point Camping,http://www.eaglepointcamping.com,+353(0)2750630,-9.453848,51.719186,Cork,Ballylickey,Republic of Ireland,Camping,656,Camping_Cork,4,Blk,60,"[7, 3]"
Newtown Cove Caravan and Camping Park,https://www.facebook.com/pages/Newtown-Cove-Caravan-Park-Tramore/214205415369614,+353(0)51381979,-7.172576,52.147718,Waterford,Tramore,Republic of Ireland,Camping,916,Camping_Waterford,1,Lot,62,"[7, 9, 6, 5, 1]"
O'Sheas Caravan and Camping Park,,+353(0)2763140,-9.543672,51.750909,Cork,Glengarriff,Republic of Ireland,Camping,1186,Camping_Cork,2,Sect,10,"[8, 3, 0]"
Ballinacourty House,http://www.camping.ie,+353(0)6256000,-8.209861,52.41631,Tipperary,Glen Of Aherlow,Republic of Ireland,Camping,1042,Camping_Tipperary,5,Blk,78,"[5, 6]"
Creveen Lodge Caravan and Camping Park,http://www.creveenlodge.com,+353(0)646683131,-9.760142,51.755089,Kerry,Lauragh,Republic of Ireland,Camping,1057,Camping_Kerry,1,Lot,54,"[9, 5, 5, 8, 0]"
Mannix Point Camping and Caravan Park,http://www.campinginkerry.com,+353(0)669472806,-10.24526,51.941941,Kerry,,Republic of Ireland,Camping,1031,Camping_Kerry,3,Blk,24,"[4, 7, 8, 6]"
Fitzmaurice's Caravan & Camping Park,http://www.fitzmauricescaravanpark.com,+353(0)51381466,-7.138872,52.164454,Waterford,Riverstown,Republic of Ireland,Camping,1072,Camping_Waterford,2,Div,75,"[6, 5, 2, 2]"
Meadow Camping Park,,+353(0)2833280,-9.10905,51.564219,Cork,Glandore,Republic of Ireland,Camping,908,Camping_Cork,1,Zone,99,"[6, 2, 8, 9]"
Jasmine Villa,,+353(0)214883234,-8.23967,51.911458,Cork,Carrigtwohill,Republic of Ireland,Camping,676,Camping_Cork,3,Zone,42,"[2, 9, 2, 4]"
Keel Sandybanks Caravan and Camping Park,http://www.achillcamping.com,+353(0)9843211,-10.077045,53.974912,Mayo,,Republic of Ireland,Camping,1104,Camping_Mayo,3,Lot,29,"[5, 2, 0, 3, 6]"
Blarney Caravan and Camping Park,http://www.blarneycaravanpark.com,+353(0)214516519,-8.5461,51.947423,Cork,Blarney,Republic of Ireland,Camping,870,Camping_Cork,1,Sect,30,"[2, 1, 7, 1]"
